代號,名稱,市場別,主要業務,其他客戶,其他
3406,玉晶光,上市,光學鏡頭,,
3008,大立光,上市,光學鏡頭,華為,台灣50
2474,可成,上市,機殼,,機殼3雄 台灣50
5264,鎧勝,上市,機殼,,和碩相關 機殼3雄
2354,鴻準,上市,機殼,任天堂,鴻海相關 機殼3雄
3376,新日興,上市,軸承,,
2330,台積電,上市,IC代工,華為,CPU 台灣50
2308,台達電,上市,電源,,散熱 被動 電源3雄 台灣50
2301,光寶科,上市,電源,,SSD 電源3雄 台灣50
2327,國巨,上市,被動元件,華為,5G MLCC2雄 台灣50
2317,鴻海,上市,組裝代工,華為 任天堂 ,台灣50
4956,和碩,上市,組裝代工,,手機 代工5哥 台灣50
2382,廣達,上市,組裝代工,谷歌 ,伺服器 筆電 代工5哥 台灣50
2356,英業達,上市,組裝代工,,手機 穿戴裝置 代工5哥
2324,仁寶,上市,組裝代工,亞馬遜 ,5G 手機 筆電 穿戴裝置 醫療 代工5哥
3231,緯創,上市,組裝代工,,伺服器 桌電 代工5哥
3711,日月光,上市,IC封裝,,5G CPU 台灣50
3189,景碩,上市,PCB,高通 ,5G IC基板 華碩相關
3037,欣興,上市,PCB,華為 ,手機 IC基板 HDI
2313,華通,上市,PCB,華為 ,手機 HDI 軟板
2367,燿華,上市,PCB,,手機 HDI 軟板
4927,泰鼎,上市,PCB,,5G 家電 PC周邊 車用
3044,健鼎,上市,PCB,,手機 車用 筆電
5349,先豐,上市,PCB,,5G 伺服器 車用
6278,台表科,上市,PCB組裝,,物聯網 LED 觸控 SMT
2383,台光電,上市,PCB,華為 ,銅箔基板 CCL3雄
4958,臻鼎,上市,PCB,,HDI 軟板 類載板(SLP) 鴻海相關 軟板3雄
6269,台郡,上市,PCB,,手機 筆電 軟板 軟板3雄
6153,嘉聯益,上市,PCB,,手機 筆電 軟板 LCP(液晶) 軟板3雄
2439,美律,上市,聲學元件,,
4915,致伸,上市,聲學元件,,
3105,穩懋,上櫃,PA元件,華為 ,VCSEL IC代工 GaAs3雄
8086,宏捷科,上櫃,PA元件,,VCSEL IC代工 GaAs3雄
3017,奇鋐,上市,散熱元件,,5G 桌電 筆電
8163,達方,上市,鍵盤,,
2387,精元,上市,鍵盤,,
3211,順達,上櫃,電池,,鋰電池2雄
6121,新普,上櫃,電池,,數據中心 鋰電池2雄
2392,正崴,上市,電源,,StudioA通路 連接器
6456,GIS(業成),上市,觸控面板,,鴻海相關
3673,TPK(辰鴻),上市,觸控面板,,
6290,良維,上櫃,連接線,惠普 亞馬遜,
6176,瑞儀,上市,背光模組,,LCD 筆電 手機 電視
1904,正隆,上市,包材,,
4966,譜瑞,上櫃,IC設計,,顯示器 聯電相關
4943,康控,上市,連接器,,聲學元件
2408,南亞科,上市,IC製造,華為,DRAM 鴻海相關 台灣50

